ts_code	name	industry	sector
002414.SZ	高德红外	电器仪表	半导体电子
002415.SZ	海康威视	IT设备	半导体电子
002422.SZ	科伦药业	化学制药	医药医疗
002432.SZ	九安医疗	医疗保健	医药医疗
002436.SZ	兴森科技	元器件	半导体电子
002444.SZ	巨星科技	轻工机械	机械设备高端制造
002456.SZ	欧菲光	元器件	半导体电子
002459.SZ	晶澳科技	电气设备	新能源电力设备
002460.SZ	赣锋锂业	小金属	有色金属资源
002463.SZ	沪电股份	元器件	半导体电子
002465.SZ	海格通信	通信设备	计算机通信互联网
002466.SZ	天齐锂业	小金属	有色金属资源
002472.SZ	双环传动	汽车配件	汽车产业链
002475.SZ	立讯精密	元器件	半导体电子
002493.SZ	荣盛石化	化纤	化工材料
002497.SZ	雅化集团	小金属	有色金属资源
002517.SZ	恺英网络	互联网	计算机通信互联网
002532.SZ	天山铝业	铝	有色金属资源
002544.SZ	普天科技	通信设备	计算机通信互联网
002555.SZ	三七互娱	互联网	计算机通信互联网
002558.SZ	巨人网络	互联网	计算机通信互联网
002572.SZ	索菲亚	家居用品	消费食品家电轻工
002594.SZ	比亚迪	汽车整车	汽车产业链
002595.SZ	豪迈科技	专用机械	机械设备高端制造
002601.SZ	龙佰集团	化工原料	化工材料
002603.SZ	以岭药业	中成药	医药医疗
002607.SZ	中公教育	文教休闲	消费食品家电轻工
002624.SZ	完美世界	互联网	计算机通信互联网
002625.SZ	光启技术	航空	军工航空航天
002648.SZ	卫星化学	化工原料	化工材料
002701.SZ	奥瑞金	广告包装	消费食品家电轻工
002709.SZ	天赐材料	化工原料	化工材料
002714.SZ	牧原股份	农业综合	综合其他
002738.SZ	中矿资源	小金属	有色金属资源
002739.SZ	万达电影	影视音像	综合其他
002756.SZ	永兴材料	小金属	有色金属资源
002812.SZ	恩捷股份	电气设备	新能源电力设备
002821.SZ	凯莱英	生物制药	医药医疗
002837.SZ	英维克	专用机械	机械设备高端制造
002841.SZ	视源股份	元器件	半导体电子
002851.SZ	麦格米特	电气设备	新能源电力设备
002891.SZ	中宠股份	饲料	综合其他
002916.SZ	深南电路	元器件	半导体电子
002920.SZ	德赛西威	汽车配件	汽车产业链
002938.SZ	鹏鼎控股	元器件	半导体电子
003816.SZ	中国广核	新型电力	新能源电力设备
300001.SZ	特锐德	电气设备	新能源电力设备
300002.SZ	神州泰岳	互联网	计算机通信互联网
300003.SZ	乐普医疗	医疗保健	医药医疗
300012.SZ	华测检测	电器仪表	半导体电子
300014.SZ	亿纬锂能	电气设备	新能源电力设备
300015.SZ	爱尔眼科	医疗保健	医药医疗
300017.SZ	网宿科技	软件服务	计算机通信互联网
300024.SZ	机器人	专用机械	机械设备高端制造
300033.SZ	同花顺	软件服务	计算机通信互联网
300037.SZ	新宙邦	化工原料	化工材料
300054.SZ	鼎龙股份	化工原料	化工材料
300058.SZ	蓝色光标	广告包装	消费食品家电轻工
300059.SZ	东方财富	证券	金融
300068.SZ	南都电源	电气设备	新能源电力设备
300070.SZ	碧水源	环境保护	公用事业环保
300073.SZ	当升科技	电气设备	新能源电力设备
300083.SZ	创世纪	机床制造	机械设备高端制造
300088.SZ	长信科技	元器件	半导体电子
300118.SZ	东方日升	电气设备	新能源电力设备
300122.SZ	智飞生物	生物制药	医药医疗
300124.SZ	汇川技术	电器仪表	半导体电子
300136.SZ	信维通信	元器件	半导体电子
300142.SZ	沃森生物	生物制药	医药医疗
300144.SZ	宋城演艺	旅游景点	交通运输物流
300207.SZ	欣旺达	电气设备	新能源电力设备
300223.SZ	北京君正	半导体	半导体电子
